protocol,run_id,position_in_run,samples,worker_cpu_mean_percent,worker_cpu_p95_percent,worker_cpu_max_percent,worker_rss_mean_bytes,worker_rss_max_bytes,mosquitto_cpu_mean_percent,mosquitto_cpu_p95_percent,mosquitto_cpu_max_percent,mosquitto_rss_mean_bytes,mosquitto_rss_max_bytes,system_cpu_mean_percent,system_cpu_p95_percent,worker_result
http,1,1,222,0.45,0.0,34.9,26461045.62162162,26624000,0.02252252252252252,0.0,5.0,8798208,8798208,0.20315315315315316,1.2,RESOURCE_WORKER_DONE protocol=http success=200/200
mqtt_qos0,1,2,225,0.39955555555555555,0.0,49.9,24541411.555555556,24707072,0.044444444444444446,0.0,5.0,8798208,8798208,0.18533333333333332,1.2,RESOURCE_WORKER_DONE protocol=mqtt_qos0 success=200/200
mqtt_qos1,1,3,271,0.38708487084870846,0.0,44.9,24585854.58302583,24739840,0.03690036900369004,0.0,5.0,8798208,8798208,0.16678966789667896,1.2,RESOURCE_WORKER_DONE protocol=mqtt_qos1 success=200/200
mqtt_qos0,2,1,225,0.39955555555555555,0.0,49.9,24541775.644444443,24707072,0.044444444444444446,0.0,5.0,8798208,8798208,0.17955555555555555,1.2,RESOURCE_WORKER_DONE protocol=mqtt_qos0 success=200/200
mqtt_qos1,2,2,270,0.3877777777777778,0.0,44.9,24585466.31111111,24739840,0.037037037037037035,0.0,5.0,8798208,8798208,0.1448148148148148,1.2,RESOURCE_WORKER_DONE protocol=mqtt_qos1 success=200/200
http,2,3,221,0.5199095022624435,0.0,54.9,26492928,26656768,0.02262443438914027,0.0,5.0,8798208,8798208,0.20904977375565612,1.2,RESOURCE_WORKER_DONE protocol=http success=200/200
mqtt_qos1,3,1,271,0.4055350553505535,0.0,44.9,24585794.125461254,24739840,0.03690036900369004,0.0,5.0,8798208,8798208,0.14870848708487083,1.2,RESOURCE_WORKER_DONE protocol=mqtt_qos1 success=200/200
http,3,2,222,0.4945945945945946,0.0,54.9,26478536.64864865,26640384,0.02252252252252252,0.0,5.0,8798208,8798208,0.209009009009009,1.2,RESOURCE_WORKER_DONE protocol=http success=200/200
mqtt_qos0,3,3,225,0.39955555555555555,0.0,49.9,24558014.00888889,24723456,0.022222222222222223,0.0,5.0,8798208,8798208,0.18,1.2,RESOURCE_WORKER_DONE protocol=mqtt_qos0 success=200/200
