timestamp,protocol,run_id,seq,command_id,status,rtt_ms,esp_processing_us,esp_free_heap,esp_min_free_heap,esp_max_alloc_heap,rssi_dbm,error
2026-09-03T23:41:20.976140,HTTP_DRYRUN,1,1,http-dryrun-1-1,success,96.022,389,227596,220364,110580,-43,
2026-09-03T23:41:21.278736,HTTP_DRYRUN,1,2,http-dryrun-1-2,success,102.423,380,227336,220364,110580,-47,
2026-09-03T23:41:21.600522,HTTP_DRYRUN,1,3,http-dryrun-1-3,success,121.644,385,224640,220364,110580,-45,
2026-09-03T23:41:21.894825,HTTP_DRYRUN,1,4,http-dryrun-1-4,success,94.161,380,226816,220364,110580,-46,
2026-09-03T23:41:22.202299,HTTP_DRYRUN,1,5,http-dryrun-1-5,success,107.336,397,226568,220364,110580,-43,
2026-09-03T23:41:24.561714,HTTP_DRYRUN,1,6,http-dryrun-1-6,success,2159.28,383,226288,220364,110580,-40,
2026-09-03T23:41:24.867673,HTTP_DRYRUN,1,7,http-dryrun-1-7,success,105.797,381,226036,220364,110580,-38,
2026-09-03T23:41:25.182262,HTTP_DRYRUN,1,8,http-dryrun-1-8,success,114.438,400,225792,216040,110580,-41,
2026-09-03T23:41:25.492643,HTTP_DRYRUN,1,9,http-dryrun-1-9,success,110.251,473,225508,216040,110580,-39,
2026-09-03T23:41:25.787681,HTTP_DRYRUN,1,10,http-dryrun-1-10,success,94.91,394,225240,216040,110580,-38,
