timestamp,protocol,run_id,round_id,position_in_round,seq,command_id,status,rtt_ms,esp_processing_us,esp_free_heap,esp_min_free_heap,esp_max_alloc_heap,rssi_dbm,qos,error
2026-09-04T10:25:34.186052,HTTP,1,1,1,1,http-main-1-1,success,23.296,361,220360,211508,110580,-46,,
2026-09-04T10:25:34.409585,HTTP,1,1,1,2,http-main-1-2,success,20.165,407,220080,211508,110580,-44,,
2026-09-04T10:25:34.629920,HTTP,1,1,1,3,http-main-1-3,success,24.793,358,220372,211508,110580,-40,,
2026-09-04T10:25:34.854875,HTTP,1,1,1,4,http-main-1-4,success,24.146,356,220360,211508,110580,-44,,
2026-09-04T10:25:35.079186,HTTP,1,1,1,5,http-main-1-5,success,22.424,359,220392,211508,110580,-40,,
2026-09-04T10:25:35.301765,HTTP,1,1,1,6,http-main-1-6,success,24.491,357,220372,211508,110580,-39,,
2026-09-04T10:25:35.526407,HTTP,1,1,1,7,http-main-1-7,success,28.660,358,220168,211508,110580,-40,,
2026-09-04T10:25:35.755216,HTTP,1,1,1,8,http-main-1-8,success,30.251,619,220188,211508,110580,-44,,
2026-09-04T10:25:35.985633,HTTP,1,1,1,9,http-main-1-9,success,20.092,358,220360,211508,110580,-44,,
2026-09-04T10:25:36.205889,HTTP,1,1,1,10,http-main-1-10,success,19.837,398,220392,211508,110580,-43,,
2026-09-04T10:25:36.425883,HTTP,1,1,1,11,http-main-1-11,success,19.859,407,220360,211508,110580,-42,,
2026-09-04T10:25:36.645896,HTTP,1,1,1,12,http-main-1-12,success,24.946,393,220376,211508,110580,-43,,
2026-09-04T10:25:36.870995,HTTP,1,1,1,13,http-main-1-13,success,24.162,388,220376,211508,110580,-41,,
2026-09-04T10:25:37.095321,HTTP,1,1,1,14,http-main-1-14,success,16.751,389,220372,211508,110580,-40,,
2026-09-04T10:25:37.312225,HTTP,1,1,1,15,http-main-1-15,success,17.327,473,220116,211508,110580,-41,,
2026-09-04T10:25:37.529703,HTTP,1,1,1,16,http-main-1-16,success,30.083,404,220396,211508,110580,-41,,
2026-09-04T10:25:37.759931,HTTP,1,1,1,17,http-main-1-17,success,18.011,415,220396,211508,110580,-39,,
2026-09-04T10:25:37.978090,HTTP,1,1,1,18,http-main-1-18,success,21.122,395,220368,211508,110580,-38,,
2026-09-04T10:25:38.199362,HTTP,1,1,1,19,http-main-1-19,success,17.439,389,220392,211508,110580,-40,,
2026-09-04T10:25:38.416950,HTTP,1,1,1,20,http-main-1-20,success,22.603,398,220360,211508,110580,-39,,
2026-09-04T10:25:38.639722,HTTP,1,1,1,21,http-main-1-21,success,18.092,393,220384,211508,110580,-40,,
2026-09-04T10:25:38.857963,HTTP,1,1,1,22,http-main-1-22,success,19.733,388,220376,211508,110580,-42,,
2026-09-04T10:25:39.077850,HTTP,1,1,1,23,http-main-1-23,success,17.319,393,220376,211508,110580,-39,,
2026-09-04T10:25:39.295316,HTTP,1,1,1,24,http-main-1-24,success,18.536,393,220372,211508,110580,-41,,
2026-09-04T10:25:39.513999,HTTP,1,1,1,25,http-main-1-25,success,21.765,393,220380,211508,110580,-41,,
2026-09-04T10:25:39.735912,HTTP,1,1,1,26,http-main-1-26,success,28.116,391,220176,211508,110580,-40,,
2026-09-04T10:25:39.964182,HTTP,1,1,1,27,http-main-1-27,success,18.345,392,220380,211508,110580,-41,,
2026-09-04T10:25:40.182703,HTTP,1,1,1,28,http-main-1-28,success,17.330,404,220384,211508,110580,-41,,
2026-09-04T10:25:40.400205,HTTP,1,1,1,29,http-main-1-29,success,16.295,402,220376,211508,110580,-41,,
2026-09-04T10:25:40.616653,HTTP,1,1,1,30,http-main-1-30,success,17.055,391,220376,211508,110580,-40,,
2026-09-04T10:25:40.833856,HTTP,1,1,1,31,http-main-1-31,success,17.005,390,220372,211508,110580,-40,,
2026-09-04T10:25:41.051020,HTTP,1,1,1,32,http-main-1-32,success,16.687,415,220380,211508,110580,-41,,
2026-09-04T10:25:41.267857,HTTP,1,1,1,33,http-main-1-33,success,21.750,389,220360,211508,110580,-41,,
2026-09-04T10:25:41.489754,HTTP,1,1,1,34,http-main-1-34,success,25.146,390,220360,211508,110580,-41,,
2026-09-04T10:25:41.715046,HTTP,1,1,1,35,http-main-1-35,success,19.207,390,220360,211508,110580,-40,,
2026-09-04T10:25:41.934402,HTTP,1,1,1,36,http-main-1-36,success,19.123,406,220380,211508,110580,-42,,
2026-09-04T10:25:42.153677,HTTP,1,1,1,37,http-main-1-37,success,19.917,400,217736,211508,110580,-39,,
2026-09-04T10:25:42.373742,HTTP,1,1,1,38,http-main-1-38,success,17.013,394,220368,211508,110580,-42,,
2026-09-04T10:25:42.590897,HTTP,1,1,1,39,http-main-1-39,success,17.624,395,220392,211508,110580,-41,,
2026-09-04T10:25:42.808665,HTTP,1,1,1,40,http-main-1-40,success,24.870,389,220360,211508,110580,-40,,
2026-09-04T10:25:43.033713,HTTP,1,1,1,41,http-main-1-41,success,21.529,401,220384,211508,110580,-41,,
2026-09-04T10:25:43.255393,HTTP,1,1,1,42,http-main-1-42,success,19.893,393,220376,211508,110580,-41,,
2026-09-04T10:25:43.475433,HTTP,1,1,1,43,http-main-1-43,success,17.094,407,220376,211508,110580,-40,,
2026-09-04T10:25:43.692668,HTTP,1,1,1,44,http-main-1-44,success,28.181,396,220376,211508,110580,-42,,
2026-09-04T10:25:43.920992,HTTP,1,1,1,45,http-main-1-45,success,17.512,390,220356,211508,110580,-41,,
2026-09-04T10:25:44.138660,HTTP,1,1,1,46,http-main-1-46,success,25.726,393,220384,211508,110580,-40,,
2026-09-04T10:25:44.364536,HTTP,1,1,1,47,http-main-1-47,success,22.246,392,220388,211508,110580,-40,,
2026-09-04T10:25:44.586929,HTTP,1,1,1,48,http-main-1-48,success,16.939,393,220348,211508,110580,-41,,
2026-09-04T10:25:44.804016,HTTP,1,1,1,49,http-main-1-49,success,24.158,393,220380,211508,110580,-42,,
2026-09-04T10:25:45.028334,HTTP,1,1,1,50,http-main-1-50,success,17.315,389,220388,211508,110580,-42,,
2026-09-04T10:25:45.245800,HTTP,1,1,1,51,http-main-1-51,success,17.800,389,220360,211508,110580,-45,,
2026-09-04T10:25:45.463744,HTTP,1,1,1,52,http-main-1-52,success,22.242,557,220136,211508,110580,-41,,
2026-09-04T10:25:45.686129,HTTP,1,1,1,53,http-main-1-53,success,25.292,388,220372,211508,110580,-42,,
2026-09-04T10:25:45.911571,HTTP,1,1,1,54,http-main-1-54,success,19.868,388,220396,211508,110580,-41,,
2026-09-04T10:25:46.131597,HTTP,1,1,1,55,http-main-1-55,success,21.227,438,220156,211508,110580,-51,,
2026-09-04T10:25:46.352974,HTTP,1,1,1,56,http-main-1-56,success,23.750,391,220388,211508,110580,-41,,
2026-09-04T10:25:46.576868,HTTP,1,1,1,57,http-main-1-57,success,17.375,395,220364,211508,110580,-41,,
2026-09-04T10:25:46.794386,HTTP,1,1,1,58,http-main-1-58,success,20.635,436,220348,211508,110580,-41,,
2026-09-04T10:25:47.015174,HTTP,1,1,1,59,http-main-1-59,success,27.240,384,220352,211508,110580,-42,,
2026-09-04T10:25:47.242560,HTTP,1,1,1,60,http-main-1-60,success,21.432,393,220360,211508,110580,-40,,
2026-09-04T10:25:47.464161,HTTP,1,1,1,61,http-main-1-61,success,17.561,645,218456,211508,110580,-41,,
2026-09-04T10:25:47.681866,HTTP,1,1,1,62,http-main-1-62,success,17.702,394,220384,211508,110580,-42,,
2026-09-04T10:25:47.899714,HTTP,1,1,1,63,http-main-1-63,success,22.835,392,220344,211508,110580,-42,,
2026-09-04T10:25:48.122701,HTTP,1,1,1,64,http-main-1-64,success,17.264,398,220380,211356,110580,-40,,
2026-09-04T10:25:48.340122,HTTP,1,1,1,65,http-main-1-65,success,22.891,392,220356,211356,110580,-41,,
2026-09-04T10:25:48.563158,HTTP,1,1,1,66,http-main-1-66,success,23.023,388,220376,211356,110580,-42,,
2026-09-04T10:25:48.786324,HTTP,1,1,1,67,http-main-1-67,success,24.649,387,220384,211356,110580,-42,,
2026-09-04T10:25:49.011126,HTTP,1,1,1,68,http-main-1-68,success,19.474,393,220368,211356,110580,-42,,
2026-09-04T10:25:49.230733,HTTP,1,1,1,69,http-main-1-69,success,13.100,404,220376,211356,110580,-39,,
2026-09-04T10:25:49.443978,HTTP,1,1,1,70,http-main-1-70,success,17.871,400,220384,211356,110580,-43,,
2026-09-04T10:25:49.661989,HTTP,1,1,1,71,http-main-1-71,success,19.672,389,220388,211356,110580,-42,,
2026-09-04T10:25:49.881805,HTTP,1,1,1,72,http-main-1-72,success,36.438,398,220376,211356,110580,-42,,
2026-09-04T10:25:50.118398,HTTP,1,1,1,73,http-main-1-73,success,18.643,395,220348,211356,110580,-41,,
