timestamp,protocol,run_id,round_id,position_in_round,seq,command_id,status,rtt_ms,esp_processing_us,esp_free_heap,esp_min_free_heap,esp_max_alloc_heap,rssi_dbm,qos,error,protocol_group,source_file,esp_processing_ms,host_network_protocol_remainder_ms
2026-09-04T10:25:40.400205,HTTP,1,1,1,29,http-main-1-29,success,16.295,402,220376,211508,110580,-41,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.402,15.893000000000002
2026-09-04T10:25:40.616653,HTTP,1,1,1,30,http-main-1-30,success,17.055,391,220376,211508,110580,-40,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.391,16.664
2026-09-04T10:25:40.833856,HTTP,1,1,1,31,http-main-1-31,success,17.005,390,220372,211508,110580,-40,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.39,16.615
2026-09-04T10:25:41.051020,HTTP,1,1,1,32,http-main-1-32,success,16.687,415,220380,211508,110580,-41,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.415,16.272000000000002
2026-09-04T10:25:41.267857,HTTP,1,1,1,33,http-main-1-33,success,21.75,389,220360,211508,110580,-41,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.389,21.361
2026-09-04T10:25:41.489754,HTTP,1,1,1,34,http-main-1-34,success,25.146,390,220360,211508,110580,-41,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.39,24.756
2026-09-04T10:25:41.715046,HTTP,1,1,1,35,http-main-1-35,success,19.207,390,220360,211508,110580,-40,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.39,18.817
2026-09-04T10:25:41.934402,HTTP,1,1,1,36,http-main-1-36,success,19.123,406,220380,211508,110580,-42,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.406,18.717000000000002
2026-09-04T10:25:42.153677,HTTP,1,1,1,37,http-main-1-37,success,19.917,400,217736,211508,110580,-39,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.4,19.517000000000003
2026-09-04T10:25:42.373742,HTTP,1,1,1,38,http-main-1-38,success,17.013,394,220368,211508,110580,-42,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.394,16.619000000000003
2026-09-04T10:25:42.590897,HTTP,1,1,1,39,http-main-1-39,success,17.624,395,220392,211508,110580,-41,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.395,17.229
2026-09-04T10:25:42.808665,HTTP,1,1,1,40,http-main-1-40,success,24.87,389,220360,211508,110580,-40,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.389,24.481
2026-09-04T10:25:43.033713,HTTP,1,1,1,41,http-main-1-41,success,21.529,401,220384,211508,110580,-41,,,HTTP,http_main_1000_nosleep_20260904_102455.csv,0.401,21.128
